epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1207.23,1.20261,1.57136,1.21775,1.09686,0,0.53973,0.6427,0.52794,0.29973,0.39158,0.56731,0.39658,0.19018,1.35846,2.13771,1.54232,1.22113,0,0.0007228,0.0007228,0.0007228
30,1243.48,1.19919,1.65127,1.2808,1.07514,0,0.55416,0.70192,0.56698,0.3223,0.4803,0.625,0.47764,0.21849,1.34743,2.12618,1.46477,1.20117,0,0.0007129,0.0007129,0.0007129
31,1282.46,1.1299,1.5039,1.4354,1.01043,0,0.58912,0.75827,0.61622,0.35715,0.50365,0.70192,0.53276,0.25384,1.30759,2.03404,1.42258,1.19102,0,0.000703,0.000703,0.000703
32,1317.47,1.25189,1.69431,1.43989,1.14199,0,0.61743,0.67308,0.6506,0.39713,0.59979,0.65385,0.61357,0.29228,1.318,1.96394,1.43643,1.15285,0,0.0006931,0.0006931,0.0006931
33,1351.63,1.2524,1.72609,1.18796,1.10328,0,0.60611,0.74038,0.65342,0.39721,0.57892,0.63462,0.57932,0.28735,1.35068,1.89636,1.456,1.14188,0,0.0006832,0.0006832,0.0006832
34,1386.53,1.25997,1.67404,1.25547,1.09249,0,0.70801,0.67308,0.66587,0.41996,0.62603,0.63462,0.59934,0.29354,1.32886,1.78655,1.43835,1.13038,0,0.0006733,0.0006733,0.0006733
35,1420.34,1.26038,1.68521,1.27449,1.10975,0,0.58608,0.69231,0.66793,0.43905,0.73707,0.50962,0.60599,0.30623,1.29618,1.77304,1.43551,1.12183,0,0.0006634,0.0006634,0.0006634
36,1453.8,1.18683,1.61981,1.21461,1.07116,0,0.70781,0.70192,0.6972,0.45752,0.63035,0.68868,0.64976,0.3299,1.27776,1.71215,1.32366,1.13867,0,0.0006535,0.0006535,0.0006535
37,1487.5,1.20035,1.63503,1.17887,1.06282,0,0.65946,0.68269,0.64004,0.39914,0.61311,0.63999,0.56347,0.29071,1.31182,1.68013,1.36805,1.15682,0,0.0006436,0.0006436,0.0006436
38,1521.38,1.24146,1.61639,1.2862,1.07418,0,0.61043,0.75962,0.66904,0.42934,0.6027,0.75,0.61332,0.31694,1.28125,1.78155,1.34888,1.15531,0,0.0006337,0.0006337,0.0006337
39,1555.1,1.0583,1.47436,1.38765,0.99186,0,0.62097,0.74038,0.66196,0.42236,0.58464,0.73077,0.60351,0.30999,1.29913,1.79581,1.36857,1.15483,0,0.0006238,0.0006238,0.0006238
40,1588.78,1.19148,1.53594,1.361,1.04962,0,0.61545,0.73077,0.68041,0.44053,0.6092,0.71154,0.65273,0.33484,1.29958,1.75464,1.32969,1.15229,0,0.0006139,0.0006139,0.0006139
41,1621.84,1.1831,1.5481,1.20983,1.07238,0,0.69472,0.70192,0.70476,0.4588,0.67593,0.70193,0.69086,0.37185,1.29105,1.66952,1.31213,1.15664,0,0.000604,0.000604,0.000604
42,1655.41,1.11656,1.43617,1.16399,1.04534,0,0.70211,0.72522,0.68113,0.4559,0.65936,0.72115,0.65061,0.34306,1.22086,1.63097,1.26137,1.11729,0,0.0005941,0.0005941,0.0005941
43,1688.62,1.05608,1.3657,1.15215,1.02355,0,0.66775,0.73077,0.66815,0.46188,0.65093,0.75309,0.64188,0.35233,1.20743,1.58666,1.24064,1.11414,0,0.0005842,0.0005842,0.0005842
44,1722,1.12589,1.52047,1.14767,1.05886,0,0.66461,0.74311,0.6663,0.45492,0.63497,0.75268,0.65913,0.36886,1.20455,1.59869,1.25173,1.104,0,0.0005743,0.0005743,0.0005743
45,1755.13,1.19,1.62211,1.1589,1.09132,0,0.6992,0.71525,0.67493,0.45143,0.68619,0.70192,0.67152,0.38307,1.21313,1.6102,1.22935,1.09423,0,0.0005644,0.0005644,0.0005644
