epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0565,1.38617,1.98292,1.51703,1.20392,0,0.69564,0.5934,0.64053,0.3775,0.51939,0.58654,0.56382,0.30315,1.73387,1.86594,1.72687,1.28611,0,0.00034,0.00034,0.00034
2,101.685,1.3186,1.91048,1.45428,1.14005,0,0.68604,0.60577,0.66147,0.36487,0.63418,0.5,0.55346,0.28669,1.46586,1.70696,1.82504,1.15571,0,0.000691338,0.000691338,0.000691338
3,152.619,1.35979,2.01727,1.50583,1.14279,0,0.54085,0.49038,0.51857,0.22861,0.3411,0.65708,0.40085,0.18528,1.61781,1.85675,1.88679,1.21966,0,0.00103377,0.00103377,0.00103377
4,201.523,1.38932,1.91127,1.57128,1.18508,0,0.44291,0.52885,0.49012,0.2325,0.41288,0.55769,0.4183,0.16765,1.57353,1.98121,1.89547,1.24213,0,0.00136728,0.00136728,0.00136728
5,249.854,1.40787,2.14466,1.50887,1.16091,0,0.61297,0.54823,0.60049,0.32836,0.64308,0.47115,0.52497,0.229,1.59785,1.87538,1.90186,1.25608,0,0.00169189,0.00169189,0.00169189
6,296.563,1.4118,2.22464,1.50734,1.1817,0,0.634,0.56731,0.56752,0.27918,0.54002,0.48077,0.41942,0.1765,1.63696,2.10579,1.78343,1.2057,0,0.00187625,0.00187625,0.00187625
7,345.261,1.53005,2.10233,1.55664,1.2556,0,0.5359,0.63462,0.51844,0.23856,0.39528,0.61538,0.36262,0.14362,1.688,2.14553,1.76533,1.28771,0,0.0018515,0.0018515,0.0018515
8,394.544,1.39916,2.08001,1.43434,1.18538,0,0.62347,0.63687,0.64202,0.36354,0.52025,0.53846,0.50691,0.22885,1.46003,1.99143,1.75794,1.21279,0,0.00182675,0.00182675,0.00182675
9,442.619,1.40463,2.02013,1.51827,1.17964,0,0.56307,0.64423,0.58538,0.2808,0.43471,0.61538,0.43592,0.16834,1.60188,2.00151,1.76727,1.23385,0,0.001802,0.001802,0.001802
10,491.276,1.3764,2.05542,1.32192,1.14273,0,0.52743,0.68269,0.54653,0.28288,0.48417,0.63177,0.44038,0.17892,1.52344,1.95342,1.68462,1.20855,0,0.00177725,0.00177725,0.00177725
11,540.347,1.36712,2.02169,1.30032,1.15303,0,0.50445,0.64423,0.5479,0.30417,0.45055,0.59615,0.45369,0.22226,1.59491,1.92105,1.64819,1.26747,0,0.0017525,0.0017525,0.0017525
12,587.151,1.36622,1.94705,1.36114,1.1796,0,0.53257,0.64423,0.59874,0.34376,0.46239,0.55769,0.5175,0.25825,1.65319,1.92608,1.67852,1.31604,0,0.00172775,0.00172775,0.00172775
13,637.461,1.31701,1.89255,1.30156,1.13642,0,0.51637,0.53846,0.53617,0.30522,0.41927,0.44231,0.44242,0.21982,1.61653,1.94067,1.9122,1.24955,0,0.001703,0.001703,0.001703
14,681.829,1.35871,1.9254,1.42041,1.13861,0,0.45538,0.56731,0.51415,0.28779,0.36715,0.53846,0.43286,0.19248,1.62659,2.1135,1.90081,1.225,0,0.00167825,0.00167825,0.00167825
