epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,651.237,1.43074,1.98372,1.22594,1.0804,0,0.64299,0.69231,0.64697,0.36278,0.54515,0.59615,0.52035,0.22449,1.36225,2.01358,1.41906,1.08073,0,0.0014456,0.0014456,0.0014456
30,673.712,1.40367,1.83925,1.22953,1.18217,0,0.66046,0.63462,0.66089,0.38026,0.50029,0.53909,0.47928,0.2195,1.33092,2.08295,1.4097,1.0987,0,0.0014258,0.0014258,0.0014258
31,695.807,1.44898,1.90863,1.26448,1.10947,0,0.66812,0.65817,0.65718,0.39198,0.50147,0.63462,0.51128,0.23677,1.33605,2.06422,1.35425,1.09817,0,0.001406,0.001406,0.001406
32,718.576,1.1717,1.61508,1.30398,0.9793,0,0.59844,0.70192,0.65708,0.42575,0.64481,0.62843,0.62109,0.24956,1.32538,1.97873,1.30553,1.09694,0,0.0013862,0.0013862,0.0013862
33,741.501,1.27939,1.85565,1.11722,1.06048,0,0.60426,0.66346,0.6677,0.41298,0.57516,0.71154,0.65636,0.26639,1.38893,1.95747,1.2844,1.10893,0,0.0013664,0.0013664,0.0013664
34,763.516,1.29831,1.83594,1.2245,1.06428,0,0.61938,0.64155,0.59015,0.33765,0.57105,0.66346,0.53772,0.24264,1.35563,2.02133,1.33381,1.09559,0,0.0013466,0.0013466,0.0013466
35,785.62,1.34332,1.9463,1.23963,1.06963,0,0.49238,0.68269,0.53705,0.31014,0.51265,0.60688,0.50754,0.23386,1.34733,1.99852,1.36848,1.10107,0,0.0013268,0.0013268,0.0013268
36,807.853,1.31251,1.72688,1.29287,1.05679,0,0.58035,0.71809,0.61398,0.33869,0.52732,0.66346,0.51333,0.22173,1.32362,1.97329,1.35672,1.11369,0,0.001307,0.001307,0.001307
37,829.953,1.27423,1.94294,1.15822,1.05549,0,0.66124,0.75,0.7162,0.41854,0.62587,0.74038,0.63943,0.30391,1.29155,1.88553,1.21635,1.06623,0,0.0012872,0.0012872,0.0012872
38,852.052,1.26023,1.70249,1.15973,1.0635,0,0.74927,0.68964,0.68655,0.40452,0.73172,0.66346,0.67291,0.30282,1.32924,1.95227,1.24093,1.10028,0,0.0012674,0.0012674,0.0012674
39,873.356,1.26597,1.90976,1.124,1.04194,0,0.70605,0.70192,0.6838,0.39338,0.67302,0.67289,0.6326,0.29478,1.41216,1.97296,1.2272,1.12614,0,0.0012476,0.0012476,0.0012476
40,895.299,1.2979,1.74403,1.22579,1.07087,0,0.7253,0.78702,0.68974,0.40892,0.65738,0.73077,0.61703,0.30756,1.41738,1.91178,1.20062,1.10203,0,0.0012278,0.0012278,0.0012278
41,916.903,1.35746,1.81507,1.22456,1.07368,0,0.70171,0.74646,0.68004,0.38971,0.62207,0.70192,0.57965,0.27938,1.4942,1.96743,1.21694,1.12553,0,0.001208,0.001208,0.001208
42,938.387,1.39083,1.79817,1.18446,1.06759,0,0.74232,0.69248,0.69984,0.40886,0.69688,0.70192,0.63468,0.29404,1.46799,2.07368,1.16799,1.11374,0,0.0011882,0.0011882,0.0011882
43,964.249,1.3134,1.77846,1.20101,1.05796,0,0.68158,0.72115,0.69497,0.39775,0.6148,0.65993,0.60048,0.27118,1.42855,2.02211,1.1766,1.10301,0,0.0011684,0.0011684,0.0011684
44,991.124,1.27007,1.83403,1.11003,1.07377,0,0.62275,0.69231,0.65025,0.33592,0.61944,0.57692,0.53575,0.24158,1.59386,2.03189,1.2389,1.10411,0,0.0011486,0.0011486,0.0011486
45,1016.2,1.19917,1.61419,1.75905,0.9576,0,0.63167,0.71154,0.65266,0.36663,0.58672,0.66346,0.56687,0.27268,1.50843,2.02451,1.2369,1.11283,0,0.0011288,0.0011288,0.0011288
46,1041.1,1.27272,1.90591,1.21587,1.03354,0,0.55723,0.72608,0.57299,0.33648,0.58896,0.62001,0.50892,0.24564,1.43826,1.91995,1.25143,1.09732,0,0.001109,0.001109,0.001109
47,1065.92,1.21215,1.54584,1.52623,0.97003,0,0.58835,0.71463,0.60922,0.33202,0.5339,0.64985,0.4788,0.24359,1.43048,1.88111,1.25865,1.11056,0,0.0010892,0.0010892,0.0010892
48,1090.12,1.30459,1.78053,1.21698,1.05101,0,0.65152,0.74038,0.64833,0.35187,0.60045,0.72115,0.5369,0.26555,1.4106,1.86075,1.25516,1.08329,0,0.0010694,0.0010694,0.0010694
49,1115.1,1.25628,1.674,1.21308,1.05339,0,0.66939,0.75927,0.67227,0.40395,0.61883,0.70192,0.56494,0.28623,1.33784,1.79087,1.22343,1.08162,0,0.0010496,0.0010496,0.0010496
50,1140.33,1.19272,1.67356,1.06159,0.99843,0,0.66748,0.72115,0.66017,0.40704,0.62065,0.67308,0.56755,0.30963,1.37051,1.85777,1.1854,1.07255,0,0.0010298,0.0010298,0.0010298
51,1164.59,1.19844,1.57418,1.15629,1.02769,0,0.73251,0.73077,0.68501,0.41627,0.6563,0.67308,0.58422,0.31833,1.37127,1.87067,1.19139,1.06825,0,0.00101,0.00101,0.00101
52,1190.12,1.24012,1.69245,1.11944,1.01804,0,0.68036,0.72115,0.6621,0.38451,0.6718,0.68889,0.59612,0.30274,1.41968,1.84976,1.17602,1.08545,0,0.0009902,0.0009902,0.0009902
53,1214.55,1.17828,1.6118,1.10652,1.01837,0,0.59585,0.723,0.61665,0.36255,0.56421,0.66346,0.53652,0.28014,1.41946,1.83602,1.19268,1.08491,0,0.0009704,0.0009704,0.0009704
54,1240.76,1.14939,1.61223,1.27863,0.94302,0,0.60627,0.71154,0.62012,0.35829,0.63521,0.68269,0.59803,0.28367,1.37195,1.74958,1.27247,1.08667,0,0.0009506,0.0009506,0.0009506
55,1265.7,1.09631,1.48112,1.29666,0.9407,0,0.66627,0.71154,0.64515,0.36621,0.67723,0.72115,0.63107,0.28883,1.34764,1.75898,1.25883,1.08416,0,0.0009308,0.0009308,0.0009308
56,1290.53,1.246,1.6075,1.12584,1.01938,0,0.68937,0.72554,0.70701,0.40834,0.72574,0.70192,0.68172,0.3252,1.29647,1.81495,1.16389,1.06321,0,0.000911,0.000911,0.000911
57,1315.3,1.20521,1.62761,1.04727,1.0263,0,0.63066,0.7717,0.68406,0.44872,0.74722,0.66346,0.70153,0.3443,1.21574,1.83016,1.13849,1.04698,0,0.0008912,0.0008912,0.0008912
58,1340.54,1.13633,1.5999,1.02054,0.98283,0,0.65717,0.79808,0.72027,0.45565,0.69766,0.72115,0.69804,0.34148,1.22056,1.80954,1.18189,1.0438,0,0.0008714,0.0008714,0.0008714
59,1364.84,1.16457,1.6073,1.04457,0.99234,0,0.74673,0.70192,0.68692,0.43448,0.73404,0.69002,0.66741,0.33375,1.23727,1.78825,1.22044,1.03969,0,0.0008516,0.0008516,0.0008516
60,1390.07,1.22606,1.73733,1.20974,1.01577,0,0.72834,0.75962,0.69191,0.4107,0.6638,0.69231,0.60812,0.31788,1.27473,1.83521,1.24635,1.02086,0,0.0008318,0.0008318,0.0008318
61,1415.15,1.20856,1.71502,1.05306,1.00799,0,0.68949,0.71154,0.66406,0.40458,0.66344,0.68269,0.63078,0.33024,1.29614,1.81582,1.1858,1.0317,0,0.000812,0.000812,0.000812
62,1440.04,1.16938,1.47713,1.00662,0.99494,0,0.68578,0.73452,0.67254,0.42813,0.66957,0.72115,0.61909,0.36442,1.26832,1.74837,1.15908,1.03495,0,0.0007922,0.0007922,0.0007922
63,1464.9,1.22186,1.60372,1.05735,0.99531,0,0.71857,0.71154,0.66259,0.4357,0.67873,0.70192,0.60797,0.37829,1.23786,1.76469,1.20067,1.0263,0,0.0007724,0.0007724,0.0007724
64,1489.37,1.24261,1.57772,1.04202,1.01604,0,0.72213,0.74038,0.68434,0.43943,0.68618,0.70192,0.59803,0.35509,1.2735,1.80896,1.18009,1.04344,0,0.0007526,0.0007526,0.0007526
65,1514.33,1.22816,1.41069,1.04124,1.02492,0,0.69903,0.78165,0.69883,0.42931,0.65354,0.73077,0.6114,0.35245,1.34736,1.83425,1.18403,1.04267,0,0.0007328,0.0007328,0.0007328
66,1539.46,1.18085,1.56372,1.02867,1.00802,0,0.72328,0.75962,0.70129,0.44566,0.67289,0.73077,0.62835,0.33663,1.24823,1.78127,1.13991,1.0349,0,0.000713,0.000713,0.000713
67,1561.28,1.14814,1.54075,1.04262,0.99383,0,0.73634,0.75193,0.7114,0.44387,0.68593,0.75,0.63865,0.35454,1.22115,1.73106,1.12033,1.02631,0,0.0006932,0.0006932,0.0006932
68,1583.77,1.13734,1.38479,1.06469,1.04423,0,0.65731,0.75617,0.67431,0.42392,0.6369,0.73077,0.64138,0.35198,1.31738,1.6857,1.14424,1.05747,0,0.0006734,0.0006734,0.0006734
69,1605.13,1.14118,1.43445,1.00099,0.98779,0,0.67741,0.73077,0.66752,0.40725,0.67831,0.77045,0.66689,0.37054,1.36272,1.70683,1.1641,1.05472,0,0.0006536,0.0006536,0.0006536
70,1627.61,1.22619,1.49178,1.08918,0.98819,0,0.7356,0.75962,0.71294,0.47147,0.73467,0.71886,0.70116,0.39111,1.23637,1.67872,1.09275,1.06436,0,0.0006338,0.0006338,0.0006338
71,1650.01,1.03643,1.37751,1.3493,0.91825,0,0.7378,0.75,0.72762,0.48347,0.69311,0.71154,0.69213,0.38379,1.19086,1.6945,1.09018,1.05356,0,0.000614,0.000614,0.000614
72,1671.82,1.23303,1.5585,1.11159,1.02325,0,0.77901,0.74038,0.72157,0.49541,0.73128,0.69231,0.71277,0.41271,1.17838,1.77511,1.10522,1.04163,0,0.0005942,0.0005942,0.0005942
73,1696.24,1.08749,1.37546,0.97402,0.97018,0,0.74345,0.75962,0.73979,0.51651,0.71539,0.77885,0.75135,0.41441,1.20421,1.68858,1.08365,1.03745,0,0.0005744,0.0005744,0.0005744
74,1720.4,1.0601,1.43341,0.90938,0.97262,0,0.77445,0.69333,0.731,0.5269,0.72939,0.7775,0.76085,0.41191,1.1967,1.62682,1.06522,1.03249,0,0.0005546,0.0005546,0.0005546
75,1744.94,1.09698,1.58711,0.98954,0.99796,0,0.77491,0.70192,0.73098,0.52465,0.7061,0.77885,0.75933,0.41439,1.20528,1.63273,1.06751,1.04795,0,0.0005348,0.0005348,0.0005348
76,1769.21,1.10277,1.40924,0.92187,0.97677,0,0.76331,0.77524,0.7564,0.52274,0.75378,0.76923,0.74922,0.41498,1.16682,1.6249,1.08531,1.02923,0,0.000515,0.000515,0.000515
77,1794.69,1.07467,1.49779,0.97613,0.99473,0,0.7623,0.75962,0.7322,0.49075,0.7623,0.75962,0.72344,0.40901,1.14532,1.61355,1.11629,1.0109,0,0.0004952,0.0004952,0.0004952
78,1818.56,1.1351,1.52781,1.11501,1.02249,0,0.73743,0.70192,0.6802,0.43964,0.73743,0.70192,0.68133,0.39127,1.167,1.59922,1.13645,1.0241,0,0.0004754,0.0004754,0.0004754
79,1843.6,1.12373,1.50302,0.95502,0.99182,0,0.66465,0.74038,0.64363,0.41288,0.6586,0.73077,0.61996,0.35257,1.1884,1.59545,1.1474,1.02443,0,0.0004556,0.0004556,0.0004556
80,1871.1,1.1134,1.56935,0.97105,0.99509,0,0.62637,0.73077,0.64346,0.38977,0.62783,0.70192,0.61781,0.32367,1.22318,1.62604,1.22446,1.02346,0,0.0004358,0.0004358,0.0004358
81,1897.54,1.0539,1.43786,0.94486,0.9874,0,0.63883,0.73077,0.66003,0.42328,0.70354,0.65385,0.64902,0.3401,1.21036,1.61545,1.17348,1.01598,0,0.000416,0.000416,0.000416
82,1923.05,0.95777,1.35784,0.9794,0.96044,0,0.70529,0.78239,0.74234,0.47937,0.74721,0.74038,0.71397,0.39243,1.20011,1.52543,1.09675,1.02201,0,0.0003962,0.0003962,0.0003962
83,1950.51,1.1316,1.59854,1.35929,0.97839,0,0.74103,0.76923,0.74696,0.49237,0.75698,0.77874,0.71336,0.39706,1.19201,1.51181,1.07627,1.01884,0,0.0003764,0.0003764,0.0003764
84,1978.91,1.07781,1.49927,0.97262,0.9851,0,0.79375,0.75,0.74257,0.51738,0.79375,0.75,0.73893,0.41162,1.17242,1.57966,1.04735,1.02058,0,0.0003566,0.0003566,0.0003566
85,2005.92,1.09644,1.45249,0.92238,0.98547,0,0.76953,0.73845,0.73292,0.51862,0.73334,0.75,0.74081,0.42863,1.1668,1.60387,1.03932,1.0105,0,0.0003368,0.0003368,0.0003368
86,2031.4,1.03159,1.25622,0.93513,0.96177,0,0.72994,0.75373,0.72203,0.50558,0.71159,0.76923,0.72345,0.40102,1.17885,1.60861,1.03464,0.99409,0,0.000317,0.000317,0.000317
87,2056.89,1.05104,1.32226,1.00128,0.95906,0,0.75473,0.76923,0.73089,0.49487,0.73216,0.78846,0.73413,0.39085,1.1744,1.57773,1.03869,0.98653,0,0.0002972,0.0002972,0.0002972
88,2082.73,1.02066,1.34969,0.88473,0.93873,0,0.74353,0.80769,0.72458,0.46532,0.71709,0.80428,0.695,0.37876,1.19955,1.60107,1.07696,0.99124,0,0.0002774,0.0002774,0.0002774
89,2108.78,1.06352,1.24512,0.9077,0.98348,0,0.68424,0.75009,0.68839,0.44431,0.64087,0.70353,0.62417,0.33834,1.19895,1.60425,1.15682,0.99467,0,0.0002576,0.0002576,0.0002576
90,2135.76,0.93787,1.25073,0.85811,0.93328,0,0.688,0.74211,0.66343,0.43647,0.65105,0.70192,0.61115,0.31362,1.16902,1.59351,1.22137,0.99166,0,0.0002378,0.0002378,0.0002378
91,2161.2,1.05517,1.41842,0.93785,0.94229,0,0.69017,0.74038,0.66669,0.43834,0.65534,0.70192,0.61819,0.32299,1.16093,1.6012,1.23351,0.99225,0,0.000218,0.000218,0.000218
92,2187.43,1.07048,1.4441,0.93024,0.95184,0,0.67829,0.75,0.64767,0.43842,0.63912,0.69821,0.58072,0.33032,1.15852,1.59379,1.23543,0.99872,0,0.0001982,0.0001982,0.0001982
93,2212.21,0.97548,1.27981,0.88397,0.94594,0,0.71147,0.73503,0.69359,0.46678,0.67697,0.69231,0.64344,0.36677,1.14223,1.57102,1.16232,0.99716,0,0.0001784,0.0001784,0.0001784
94,2237.64,0.96756,1.22307,0.86146,0.93238,0,0.74008,0.79401,0.73065,0.49999,0.71275,0.76348,0.71594,0.38421,1.12762,1.55211,1.11336,0.99576,0,0.0001586,0.0001586,0.0001586
95,2263.73,1.04695,1.36093,0.99315,0.94967,0,0.75301,0.79153,0.74118,0.51592,0.73661,0.76923,0.72881,0.39141,1.12694,1.53727,1.09329,0.99738,0,0.0001388,0.0001388,0.0001388
96,2290.51,0.98194,1.20955,0.85601,0.96289,0,0.78206,0.77885,0.74272,0.51919,0.76305,0.75,0.72289,0.40261,1.12031,1.52005,1.07727,0.99556,0,0.000119,0.000119,0.000119
97,2316.29,0.90778,1.16816,1.10229,0.87985,0,0.76446,0.76923,0.73483,0.51809,0.7724,0.75962,0.73383,0.40951,1.10887,1.48942,1.07154,0.98917,0,9.92e-05,9.92e-05,9.92e-05
98,2342.67,1.04837,1.32799,0.95957,0.98032,0,0.75905,0.75962,0.74287,0.52059,0.78245,0.75962,0.72544,0.40314,1.09236,1.46638,1.08496,0.98839,0,7.94e-05,7.94e-05,7.94e-05
99,2368.39,0.95408,1.1754,1.29867,0.87966,0,0.79566,0.7488,0.73749,0.5196,0.75841,0.75962,0.72344,0.40512,1.08386,1.45353,1.0796,0.98672,0,5.96e-05,5.96e-05,5.96e-05
100,2394.11,0.98258,1.21498,0.88265,0.94806,0,0.75225,0.75962,0.73352,0.51621,0.76447,0.75962,0.72865,0.40324,1.08635,1.45675,1.07938,0.98943,0,3.98e-05,3.98e-05,3.98e-05
