epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7532,2.46091,4.49193,3.41864,1.87768,0,0.00489,0.42308,0.18715,0.06778,0.002,0.17308,0.02176,0.00457,2.2244,3.69639,3.57642,1.58255,0,0.00026,0.00026,0.00026
2,102.76,1.82895,3.02659,2.34971,1.38864,0,0.00567,0.49038,0.17416,0.06211,0.00456,0.39423,0.06169,0.02193,2.02506,3.39984,3.19179,1.43329,0,0.000529308,0.000529308,0.000529308
3,155.867,1.68481,2.72044,2.06189,1.31899,0,0.4589,0.24038,0.17387,0.08179,0.25698,0.13462,0.0581,0.01672,1.71045,3.04236,2.93621,1.34513,0,0.000787528,0.000787528,0.000787528
4,210.491,1.62682,2.52114,2.05284,1.26363,0,0.36626,0.07784,0.14614,0.05565,0.16442,0.0795,0.065,0.01588,1.82269,2.87076,3.19162,1.49613,0,0.00103466,0.00103466,0.00103466
5,257.187,1.59618,2.36254,2.00077,1.2572,0,0.29705,0.25962,0.19647,0.0799,0.17738,0.16346,0.09435,0.02846,1.59496,2.68945,2.86896,1.27179,0,0.0012707,0.0012707,0.0012707
6,301.208,1.61465,2.38342,1.90265,1.25016,0,0.43589,0.29808,0.19313,0.08483,0.23787,0.17308,0.10981,0.03872,1.73351,2.80351,2.65751,1.33172,0,0.00149566,0.00149566,0.00149566
7,344.842,1.64653,2.28982,1.84014,1.26162,0,0.40617,0.33654,0.27965,0.11494,0.25338,0.21154,0.1241,0.03,1.72606,3.04235,2.539,1.35102,0,0.00170953,0.00170953,0.00170953
8,389.303,1.65457,2.31966,1.75157,1.26154,0,0.44232,0.32692,0.30911,0.14154,0.18896,0.16346,0.09386,0.0275,1.67069,2.91763,2.35412,1.25458,0,0.0017228,0.0017228,0.0017228
9,432.563,1.61365,2.43922,1.87602,1.22558,0,0.2912,0.38714,0.2514,0.11609,0.19389,0.28846,0.16877,0.06359,1.73449,2.48636,2.50004,1.29787,0,0.0016832,0.0016832,0.0016832
10,475.716,1.51317,2.23145,1.73389,1.20584,0,0.32906,0.349,0.25999,0.13118,0.2272,0.23077,0.16309,0.06205,1.60037,2.67016,2.51247,1.26243,0,0.0016436,0.0016436,0.0016436
11,518.257,1.49931,2.10705,1.6418,1.19244,0,0.35896,0.36538,0.28764,0.13676,0.2011,0.28846,0.17762,0.06674,1.61557,2.27647,2.40537,1.27716,0,0.001604,0.001604,0.001604
12,561.52,1.5679,2.18141,1.62529,1.21843,0,0.37239,0.43269,0.35832,0.18514,0.25646,0.38462,0.24099,0.0849,1.5792,2.32289,2.30309,1.29375,0,0.0015644,0.0015644,0.0015644
13,604.356,1.56885,2.25138,1.67726,1.20978,0,0.50523,0.50962,0.53445,0.28085,0.2885,0.47115,0.35255,0.13162,1.52615,2.43291,2.07343,1.26463,0,0.0015248,0.0015248,0.0015248
14,646.956,1.41463,1.98525,1.54629,1.1769,0,0.47205,0.49005,0.48792,0.27589,0.29908,0.55769,0.35582,0.14332,1.5793,2.30919,1.96185,1.27756,0,0.0014852,0.0014852,0.0014852
15,689.703,1.49159,2.02496,1.67904,1.22987,0,0.48454,0.625,0.52378,0.28872,0.35543,0.47115,0.35579,0.13326,1.58393,2.34903,1.8579,1.30143,0,0.0014456,0.0014456,0.0014456
16,732.422,1.4644,2.03706,1.57936,1.18539,0,0.59995,0.58654,0.64021,0.37775,0.60178,0.53764,0.52643,0.2345,1.56119,2.50149,1.77209,1.28403,0,0.001406,0.001406,0.001406
17,777.119,1.38828,1.96135,1.55631,1.20488,0,0.67818,0.62817,0.67178,0.4026,0.5779,0.52885,0.55887,0.26902,1.46558,2.10909,1.69573,1.29259,0,0.0013664,0.0013664,0.0013664
18,821.828,1.3628,1.87253,1.50047,1.16122,0,0.60064,0.63631,0.62273,0.37653,0.48043,0.50962,0.45825,0.20943,1.35116,1.99187,1.7177,1.23148,0,0.0013268,0.0013268,0.0013268
